"year","home_team_id","away_team_id","avg_overall_rating_home_player_1.1","avg_overall_rating_away_player_1.1","mean_potential_home","mean_potential_away","mean_overall_rating_home","mean_overall_rating_away","mean_defensive_work_rate_home","mean_defensive_work_rate_away","mean_attacking_work_rate_home","mean_attacking_work_rate_away","avg_crossing_home","avg_crossing_away","avg_combined_work_rate_home","avg_combined_work_rate_away","point_diff","win_loss"
2009,136,94,67,73,67.9444444444444,74.5454545454545,63.65,68.7916666666667,2.16666666666667,1.72727272727273,2.33333333333333,2.27272727272727,67.9444444444444,74.5454545454545,1.26363636363636,1.95454545454545,1,0
2009,134,140,64,71,68.2727272727273,71.5454545454545,65.3333333333333,68.2083333333333,2.22222222222222,2.3,2.33333333333333,2.2,68.2727272727273,71.5454545454545,1.88181818181818,2.08181818181818,2,0
2009,199,224,64,71,67.8333333333333,76.0454545454545,63.35,71.7083333333333,2,2.27272727272727,2.5,2.36363636363636,67.8333333333333,76.0454545454545,0.836363636363636,2.43636363636364,2,0
2009,6,150,61,67,67.1818181818182,69.6,62.7916666666667,64.3636363636364,2.1,1.83333333333333,2.2,2,67.1818181818182,69.6,1.97272727272727,1.22727272727273,3,1
2009,94,224,73,71,73.4545454545455,75.5,68.4166666666667,70.4583333333333,1.9,2.27272727272727,2.2,2.45454545454545,73.4545454545455,75.5,1.91818181818182,2.35454545454545,2,1
2009,135,137,66.5,63,75.2727272727273,71.95,69.7083333333333,65.8181818181818,2,1.9,2.4,2.3,75.2727272727273,71.95,2.01818181818182,1.91818181818182,1,1
2009,146,149,64,64,65.8125,68.5909090909091,61.6666666666667,63.4166666666667,2.14285714285714,1.9,2.14285714285714,2.1,65.8125,68.5909090909091,1.36363636363636,1.75454545454545,1,0
2009,6,143,70,61,68.3636363636364,69,63.9166666666667,64.75,2.11111111111111,2,2.22222222222222,2,68.3636363636364,69,1.79090909090909,1.4,2,1
2009,148,134,64,62,67.6,69.3181818181818,61.9090909090909,64.5833333333333,1.66666666666667,2.5,2.33333333333333,2.3,67.6,69.3181818181818,0.581818181818182,2.13636363636364,1,1
2009,142,150,64,67,69.3181818181818,68.8181818181818,65.5416666666667,63.8333333333333,1.875,2,2.375,2,69.3181818181818,68.8181818181818,1.58181818181818,1.63636363636364,2,1
2009,94,140,73,71,73.5,72.1818181818182,68.6666666666667,68.4583333333333,2.1,2.18181818181818,2.4,2.18181818181818,73.5,72.1818181818182,2.1,2.23636363636364,1,1
2009,224,136,71,67,75.65,69.7,70.1363636363636,64.1363636363636,2.2,1.875,2.4,2.25,75.65,69.7,2.10909090909091,1.5,2,1
2009,137,6,63,70,72.3181818181818,68.4090909090909,65.7916666666667,63.2083333333333,1.81818181818182,2.11111111111111,2.27272727272727,2.33333333333333,72.3181818181818,68.4090909090909,2.1,1.60909090909091,1,0
2009,149,142,64,64,68.5909090909091,69.3181818181818,63.4166666666667,65.5416666666667,1.9,1.875,2.1,2.375,68.5909090909091,69.3181818181818,1.81818181818182,1.76363636363636,4,1
2009,199,148,64,64,67.8,66.8,62.9090909090909,62.0909090909091,2.11111111111111,1.33333333333333,2.11111111111111,2.33333333333333,67.8,66.8,1.70909090909091,0.4,2,1
2009,150,135,67,66.5,68.8181818181818,75.2727272727273,63.9166666666667,70.4166666666667,2,1.88888888888889,2,2.44444444444444,68.8181818181818,75.2727272727273,1.63636363636364,1.75454545454545,2,1
2009,146,140,64,71,67.5625,72.5909090909091,62.5555555555556,68.0833333333333,1.83333333333333,2.1,2.33333333333333,2.2,67.5625,72.5909090909091,1.17272727272727,1.9,1,0
2009,143,137,73,63,71.1363636363636,72.1,66.7916666666667,65.1818181818182,2,1.88888888888889,2,2.22222222222222,71.1363636363636,72.1,1.30909090909091,1.9,2,0
